trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-contratos-itf-tg-job;sdlf-bigdata-contratos-itf-tg-job-schedule;cron(0 10 2.3 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-cptp-adquisicion-funnel-presencial-cierre-glue-trigger;sdlf-bigdata-cptp-adquisicion-funnel-presencial-cierre-glue-schedule;cron(0 21 1-6 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-cptp-adquisicion-funnel-presencial-sc-glue-trigger;sdlf-bigdata-cptp-adquisicion-funnel-presencial-sc-glue-schedule;cron(0 21,6,10 7-31 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-cptp-altas-tc-cc-platun-glue-trigger;sdlf-bigdata-cptp-altas-tc-cc-platun-glue-schedule;cron(30 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:52
sdlf-bigdata-cptp-captaciones-monoproducto-cc-glue-trigger;sdlf-bigdata-cptp-captaciones-monoproducto-cc-glue-schedule;cron(0 3,15 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:33:42
sdlf-bigdata-cptp-foto-tablon-adquisicion-inicio-mes-glue-trigger;sdlf-bigdata-cptp-foto-tablon-adquisicion-inicio-mes-glue-schedule;cron(15 14 11 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-cptp-tablon-campana-adquisicion-glue-trigger;sdlf-bigdata-cptp-tablon-campana-adquisicion-glue-schedule;cron(00 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:54
sdlf-bigdata-ctbl-base-gestion-ccr-glue-trigger;sdlf-bigdata-ctbl-base-gestion-ccr-glue-schedule;cron(00 6 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:55
sdlf-bigdata-ctbl-fipers-mae-lib-neg-glue-trigger;sdlf-bigdata-ctbl-fipers-mae-lib-neg-glue-schedule;cron(30 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:56
sdlf-bigdata-dgtl-leads-abr-glue-trigger;sdlf-bigdata-dgtl-leads-abr-glue-schedule;cron(30 13 ? * MON,TUE,WED,THU,FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
