trigger_name;job_name;tipo;estado_glue;cron;clasificacion;Decision
sdlf-bigdata-sent-whatsapps-to-connect-logs-glue-trigger;sdlf-bigdata-sent-whatsapps-to-connect-logs-glue-job;SCHEDULED;ACTIVATED;cron(0 10-0 * * ? *);migrable;migrar
sdlf-bigdata-status-sernac-runs-trigger;sdlf-bigdata-sernac-monitoring-glue-job;SCHEDULED;ACTIVATED;cron(30 8 * * ? *);migrable;migrar
sdlf-bigdata-call-sftp-sender-ctbl-contact-fonos-movil-glue-trigger;sdlf-bigdata-sftp-redshift-module-glue-job;SCHEDULED;ACTIVATED;cron(15 8 * * ? *);migrable;migrar
sdlf-bigdata-sftpperu-reporte-binacional-extraction-glue-trigger;sdlf-bigdata-sftpperu-file-extractor-psh-glue-job;SCHEDULED;ACTIVATED;cron(0 0/1 * * ? *);migrable;migrar
sdlf-bigdata-sftpperu-tipo-cambio-binacional-extraction-glue-trigger;sdlf-bigdata-sftpperu-file-extractor-psh-glue-job;SCHEDULED;ACTIVATED;cron(1 0/1 * * ? *);migrable;migrar
sdlf-bigdata-extract-sharepoint-ingreso-mensual-seguros-glue-trigger;sdlf-bigdata-sharepoint-to-s3-glue-job;SCHEDULED;ACTIVATED;cron(0 15 11,12,13,14,15 * ? *);migrable;migrar
sdlf-bigdata-sharepoint-to-s3-glue-trigger;sdlf-bigdata-sharepoint-to-s3-glue-job;SCHEDULED;ACTIVATED;cron(00 13 9-13 * ? *);migrable;migrar
sdlf-bigdata-sp-activos-glue-trigger;sdlf-bigdata-sp-activos-glue-job;SCHEDULED;ACTIVATED;cron(0 15 ? * * *);migrable;migrar
sdlf-bigdata-extraction-ga-login-pu-glue-job;sdlf-bigdata-sp-crea-mpdt007-glue-job;SCHEDULED;ACTIVATED;cron(00 4 * * ? *);migrable;migrar
sdlf-bigdata-extraction-ga-login-pu-hourly-glue-job;sdlf-bigdata-sp-crea-mpdt007-glue-job;SCHEDULED;ACTIVATED;cron(1 13-0,1,2,3 * * ? *);migrable;migrar
sdlf-bigdata-status-jobs-360-glue-trigger;sdlf-bigdata-status-jobs-360-glue-job;SCHEDULED;DEACTIVATED;cron(0 0/1 * * ? *);migrable;migrar
sdlf-bigdata-ppff-stock-dap-tg-job;sdlf-bigdata-stock-dap-glue-job;SCHEDULED;ACTIVATED;cron(0 11,13,15,17 * * ? *);migrable;migrar
sdlf-bigdata-cost-per-consumption-glue-trigger;sdlf-bigdata-table-cost-per-consumption-psh-glue-job;SCHEDULED;ACTIVATED;cron(00 12 * * ? *);migrable;migrar
